ds,yhat,yhat_lower,yhat_upper,Category
2018-03-31,17642.670530661744,14754.791618850239,20629.428120313492,Furniture
2018-04-30,14589.275262782758,11753.001027168206,17823.89234567398,Furniture
2018-05-31,15684.21315359564,12751.342482096785,18805.77231917685,Furniture
2018-06-30,17160.73280346954,14259.9984017073,20215.263941229103,Furniture
2018-07-31,17473.94850891176,14686.031526656516,20670.831618761316,Furniture
2018-08-31,15580.7176955492,12300.126746624692,18390.282077197862,Furniture
2018-09-30,31436.792816827532,28672.547614394258,34598.386238058294,Furniture
2018-10-31,19332.70724008657,16263.053033628767,22327.29838103283,Furniture
2018-11-30,34670.9751883751,31727.38691473122,37834.91432558588,Furniture
2018-12-31,33574.87620352923,30489.233300179407,36874.09620837274,Furniture
2014-01-31,5989.947346145558,1475.4781831972045,10768.971129818818,Office Supplies
2014-02-28,2762.743477427406,-1894.6140506410459,7603.332990960934,Office Supplies
2014-03-31,11103.398433283985,6659.808643879265,15789.898951046498,Office Supplies
2014-04-30,9475.24125139887,4604.029095243642,13802.717839106059,Office Supplies
2014-05-31,6495.571978483667,1835.5530647446135,11355.15005738493,Office Supplies
2014-06-30,9133.43183726537,4747.207136375972,14011.863938765091,Office Supplies
2014-07-31,6391.152432057896,1756.0656731401782,11112.482774023314,Office Supplies
2014-08-31,11893.474481072526,7326.3526262050445,16587.278825655994,Office Supplies
2014-09-30,21925.878953598974,17635.583268341965,26551.015329757385,Office Supplies
2014-10-31,9536.894957537394,4650.966765369259,13954.917306644966,Office Supplies
2014-11-30,22813.84091048364,18476.758934242836,27387.66852890502,Office Supplies
2014-12-31,19701.479015860943,14854.503723193819,24207.02941577243,Office Supplies
2015-01-31,5750.719889236637,1103.2796817278238,10247.873121766634,Office Supplies
2015-02-28,6389.020622315293,1429.5851742454686,10955.911208364902,Office Supplies
2015-03-31,13597.525138583227,8911.213821792446,18390.679887700637,Office Supplies
2015-04-30,12275.236767798235,7280.752818613627,17036.886248456613,Office Supplies
2015-05-31,6733.041994387871,1893.5200465346602,11208.002044602674,Office Supplies
2015-06-30,10683.137878825826,6192.927511756307,15454.244078646974,Office Supplies
2015-07-31,6872.121453892228,2267.217123732494,11320.650868191811,Office Supplies
2015-08-31,14012.804269172557,9625.141740589168,18775.603795146435,Office Supplies
2015-09-30,24323.814193160608,19794.747435042387,28934.86973401759,Office Supplies
2015-10-31,10716.100749248935,6166.560070384783,15657.337492473096,Office Supplies
2015-11-30,28322.433446727035,23779.645787048667,33021.67006288018,Office Supplies
2015-12-31,18056.2384169664,13471.545752302603,22725.85649325988,Office Supplies
2016-01-31,6047.855560571383,1319.1120616573617,10573.598768299367,Office Supplies
2016-02-29,3060.8317082239955,-1800.0299156446076,7706.595702678674,Office Supplies
2016-03-31,13657.793259728478,9111.877191943244,18262.820061541413,Office Supplies
2016-04-30,11462.043399512697,7114.5184452596495,16068.773060201318,Office Supplies
2016-05-31,13801.347019786335,9153.165723884958,18405.642449845916,Office Supplies
2016-06-30,14065.369276364192,9095.699329274812,18600.171249689905,Office Supplies
2016-07-31,13687.23002227144,8773.052279948453,18328.112529629536,Office Supplies
2016-08-31,16120.735252696404,11752.859954647156,20682.659286750775,Office Supplies
2016-09-30,25648.82229427508,21077.01024757681,30512.002914023335,Office Supplies
2016-10-31,15938.31047923597,11324.77648753803,20297.6836292514,Office Supplies
2016-11-30,20753.249020298266,16172.593453226747,25425.585215759533,Office Supplies
2016-12-31,32386.52175291167,27368.439821030326,37061.659378257646,Office Supplies
2017-01-31,15441.502543826971,10711.419648736868,20237.100963656507,Office Supplies
2017-02-28,8488.367180905781,3963.1599065397395,13089.400004904099,Office Supplies
2017-03-31,18067.083154573404,13357.112878923206,22426.889324022843,Office Supplies
2017-04-30,16252.992170796922,11526.976365947123,20663.763182850304,Office Supplies
2017-05-31,16009.835632538943,11569.990553315425,20574.52456448845,Office Supplies
2017-06-30,17523.811271589435,13031.256908788331,22644.15723927613,Office Supplies
2017-07-31,16034.411520209476,11689.51100749988,20575.85994960246,Office Supplies
2017-08-31,20075.5547787092,15544.590361873681,24761.978365382838,Office Supplies
2017-09-30,29951.79098074479,25279.596493087673,34600.31278450272,Office Supplies
2017-10-31,18970.490815519188,14500.229703295969,23639.23272796728,Office Supplies
2017-11-30,28139.100509834603,23804.552217488283,32752.60828168036,Office Supplies
2017-12-31,32490.459272044274,27933.589022501958,36918.44612841655,Office Supplies
2018-01-31,17055.46183513134,12422.855678655593,21548.54032811373,Office Supplies
2018-02-28,13974.723486142982,9316.704198366346,18688.99109059761,Office Supplies
2018-03-31,22477.536697438485,17905.495598195757,27176.19022162142,Office Supplies
2018-04-30,21006.306859559514,16217.390032755875,25541.186377310623,Office Supplies
2018-05-31,18188.795845441633,13352.476074268796,22909.81993182405,Office Supplies
2018-06-30,20983.583047120694,16719.530362817994,25947.105248657113,Office Supplies
2018-07-31,18403.4618962501,14025.455016718282,23223.72309694713,Office Supplies
2018-08-31,24067.942197971417,19403.124450790998,28916.841328926672,Office Supplies
2018-09-30,34257.27400792694,29877.654204399332,39023.41716856757,Office Supplies
2018-10-31,22030.448260564597,17599.07313781703,26676.225989232076,Office Supplies
2018-11-30,35464.32154770229,30678.8470286255,39853.12821668701,Office Supplies
2018-12-31,32514.117898672564,28002.580606646112,37268.684892601676,Office Supplies
2014-01-31,3960.5255428036653,-1806.2208973777117,9590.523742013404,Technology
2014-02-28,1238.274653957169,-5080.2638056268215,6967.741758995921,Technology
2014-03-31,19753.43901070208,13457.622135648386,25878.841718071235,Technology
2014-04-30,8257.091292714744,2355.4740814114007,14224.42786246929,Technology
2014-05-31,10233.570667969725,4168.64060748998,16126.633311251122,Technology
2014-06-30,7154.509278871812,1259.8510074990409,13461.7466296707,Technology
2014-07-31,9349.531217297319,3116.5670476964756,15204.84945891546,Technology
2014-08-31,10197.160749979272,4262.304667579105,16140.267720215545,Technology
2014-09-30,21116.819563513433,14680.651447007307,26883.11281266592,Technology
2014-10-31,14117.392339672915,7745.556543599586,19736.10266386097,Technology
2014-11-30,27702.135715814948,21510.90223034613,33709.75037850533,Technology
2014-12-31,23655.761497081716,17650.39516235197,29997.302630728293,Technology
2015-01-31,5120.706813914283,-1341.7396180881606,11119.17770639787,Technology
2015-02-28,4107.00613082026,-1707.758618588845,10035.611899641268,Technology
2015-03-31,22399.49736944061,16226.232621662233,28301.321971073456,Technology
2015-04-30,12950.110268825747,6496.3266032230285,19274.927780983773,Technology
2015-05-31,10882.52577659101,4560.643421868178,16524.391927140852,Technology
2015-06-30,9469.316162135645,3135.576450332799,15356.47646525012,Technology
2015-07-31,12815.772838318111,6272.862555751502,18969.599939469346,Technology
2015-08-31,16639.405966438626,10967.868762107426,22831.084393151905,Technology
2015-09-30,25443.492379164658,19317.144528933364,31684.52565593961,Technology
2015-10-31,10852.464104675984,4878.886188949848,17334.84375311612,Technology
2015-11-30,29925.348253667755,23676.147235109736,35757.365671982974,Technology
2015-12-31,32677.65848169286,26866.086956654122,38925.764474067335,Technology
2016-01-31,6230.683379752794,749.2855403022708,12373.581646262352,Technology
2016-02-29,7554.688801085398,1704.6534469783587,13727.527610558665,Technology
2016-03-31,26517.286607966347,20110.94376185602,32598.047135215023,Technology
2016-04-30,10821.963897482628,4462.356244170337,17015.942692898505,Technology
2016-05-31,20893.382506747694,14937.312211642398,27294.9889229852,Technology
2016-06-30,14728.878576057476,8247.613198048295,20615.123390174605,Technology
2016-07-31,14672.078303083663,8679.172497882819,20809.457548017366,Technology
2016-08-31,9363.355095043264,3414.8375227856354,15790.467344866733,Technology
2016-09-30,24099.546150458027,17810.5226314718,30441.348660634838,Technology
2016-10-31,32619.115154935273,26623.746051727896,39197.842006988474,Technology
2016-11-30,35784.318725183104,29633.385659572832,41494.734614265246,Technology
2016-12-31,17736.841924092572,11477.077023006586,23592.646841617112,Technology
2017-01-31,14787.029790158056,8958.085112907349,21181.093743171314,Technology
2017-02-28,10436.979532901023,4597.332648938611,16606.541481972577,Technology
2017-03-31,29177.412372943858,22879.790899915675,35031.04900258019,Technology
2017-04-30,15600.690017274188,9173.632595224726,21540.250560038683,Technology
2017-05-31,21626.85767249463,15488.297832152699,27343.589223890594,Technology
2017-06-30,16965.789144964525,11008.50622526478,22935.22350573031,Technology
2017-07-31,18027.783714690602,12251.443258829595,24325.498183429423,Technology
2017-08-31,15832.610049550169,9364.345462625399,22154.43052849815,Technology
2017-09-30,28733.446656745095,22738.80029352762,35186.50559774749,Technology
2017-10-31,29442.80681151952,23105.630509907132,35861.764197602744,Technology
2017-11-30,37725.520580235025,31650.02354817283,43715.228163718646,Technology
2017-12-31,26746.212641530703,20653.214171655905,32583.974635265717,Technology
2018-01-31,16048.390538378964,9294.505680250564,22004.634833047792,Technology
2018-02-28,13328.629193124476,7503.654183060087,19477.095069283783,Technology
2018-03-31,31846.549831732256,25553.193027422203,37852.58844492955,Technology
2018-04-30,20352.869483265218,14406.385353236059,26594.599989820003,Technology
2018-05-31,22332.105137374827,16399.805483824704,28518.472951491975,Technology
2018-06-30,19255.711114660116,13252.301261332894,25539.34957556216,Technology
2018-07-31,21453.48933169883,15071.787151650473,27719.648847502445,Technology
2018-08-31,22303.87514590329,16135.288238852738,28034.58979805141,Technology
2018-09-30,33226.20132293949,26938.861676537046,39290.295408160404,Technology
2018-10-31,26229.530374776496,20688.82701656776,32071.217880472017,Technology
2018-11-30,39816.941105805214,33452.44668540567,46145.976577642024,Technology
2018-12-31,35773.3231568104,29688.598124840682,41846.3816838182,Technology
